hi,Hello.
hello,Hi!
hey,Hey there!
hi there,Hello!
hello there,Hi!
yo,Yo!
sup,"Not much, you?"
hiya,Hey hey!
greetings,"Greetings, human."
what's up,"Not much, just processing text."
howdy,"Howdy, partner!"
good day,Good day to you too!
hi friend,"Hello, friend!"
hello again,Hi again!
hey you,Hey yourself!
hi,Hello.
hello,Hi!
hey,Hey there!
hi there,Hello there!
hello there,Hi!
hey there,Hey!
hi!,Hello!
hello!,Hi!
hey!,Hey there!
hiya,Hey!
yo,Yo!
sup,Not much!
what's up,"Not much, you?"
howdy,Howdy!
greetings,Greetings!
hi friend,"Hello, friend!"
hello friend,"Hi, friend!"
hey friend,"Hey, friend!"
hi again,Hello again!
hello again,Hi again!
hey again,Hey there again!
hii,Hello!
hellooo,Hii!
heyy,Hey!
hiii,Hello there!
yo!,Yo yo!
yo yo,Yo!
sup?,Not much!
what's up?,"Not much, how about you?"
hey you,Hey!
hi buddy,"Hello, buddy!"
hello buddy,"Hi, buddy!"
hey buddy,"Hey, buddy!"
hi there!,Hello there!
hello there!,Hi!
hey there!,Hey!
hiya!,Hey!
yo!,Yo!
hi pal,"Hello, pal!"
hello pal,"Hi, pal!"
hey pal,"Hey, pal!"
hi mate,"Hello, mate!"
hello mate,"Hi, mate!"
hey mate,"Hey, mate!"
hi dude,"Hello, dude!"
hello dude,"Hi, dude!"
hey dude,"Hey, dude!"
"hi there, friend","Hello, friend!"
"hello there, friend","Hi, friend!"
"hey there, friend","Hey, friend!"
good to see you,Good to see you too!
hey bot,"Hello, human!"
hi bot,Hi!
yo bot,"Yo, what's up?"
hey there bot,Hey hey!
hi there bot,Hello there!
hello friend,"Hi, friend!"
hallo,Hallo!
hola,Hola!
bonjour,Bonjour!
konnichiwa,こんにちは!
namaste,Namaste!
salut,Salut!
hi buddy,"Hello, buddy!"
hello buddy,"Hi, buddy!"
hey buddy,"Hey, buddy!"
hi pal,"Hey, pal!"
yo dude,"Yo, dude!"
sup bro,"Not much, bro!"
hey bro,"Hey, bro!"
hey mate,"Hey, mate!"
hi mate,"Hello, mate!"
aloha,Aloha!
ciao,Ciao!
hey dude,Hey!
hey fam,Hey fam!
what's good,Everything is good!
hello human,"Hello, fellow being!"
hi hooman,Hi hooman!
"hi there, bot","Hello, user!"
